Ticker,Date,Time,Headline,neg,neu,pos,compound
NIO,Mar-02-21,08:45AM,5 Key Things NIO Management Said on Their Earnings Conference Call,0.0,1.0,0.0,0.0
NIO,Mar-02-21,08:34AM,XPeng Li Auto stocks fall after February deliveries data in wake of Nio's mixed results,0.0,1.0,0.0,0.0
NIO,Mar-02-21,08:29AM,NIO Q4 Loss In Line With Estimates Sales Top Q1 View Solid,0.156,0.612,0.231,0.0258
NIO,Mar-02-21,07:48AM,Dow Jones Futures: Is Stock Market Pullback Over? Nio Tumbles Zoom Soars On Earnings,0.0,1.0,0.0,0.0
NIO,Mar-02-21,06:01AM,NIO Inc. (NIO) Q4 2020 Earnings Call Transcript,0.0,1.0,0.0,0.0
NIO,Mar-02-21,04:58AM,Tesla Shares Slip Lower After NIO Earnings China Sales Forecast,0.177,0.645,0.177,0.0
NIO,Mar-02-21,04:19AM,Nio Says Chip Shortage Will Hit EV Production In Q2,0.182,0.818,0.0,-0.25
NIO,Mar-01-21,06:02PM,Nios sales top $2 billion in transformational year,0.0,0.795,0.205,0.2023
NIO,Mar-01-21,05:58PM,Nio Reports Wider Q4 Loss Despite Revenues Topping $1B,0.223,0.777,0.0,-0.3182
NIO,Mar-01-21,05:28PM,UPDATE 3-China's Nio posts bigger-than-expected loss slowing EV sales growth in Q1,0.154,0.671,0.174,0.0772
